Time, Rain(mm),,,,, Latitude,23.77, Longitude,90.393,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190725,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230923,294,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180612,189,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20231005,121,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210630,118,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210516,114,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180505,113,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170601,111,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170811,108,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170928,106,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220617,102,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20221024,101,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150611,95,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220607,89,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230807,89,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160611,87,,,189,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150715,85,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150515,84,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210518,84,,,266,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20171006,81,,,294,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190713,81,,,314,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140814,80,,,329,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170515,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150820,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230701,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190615,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170618,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200920,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150819,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220629,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140623,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20181010,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190711,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220609,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20231006,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210601,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180720,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20211006,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230806,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190524,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190805,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180531,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150707,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210517,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180714,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170605,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180723,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200520,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170619,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190712,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170918,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210727,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230921,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180818,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140926,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20221002,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150625,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170419,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150529,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160725,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200804,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230616,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180925,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220613,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140830,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210524,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210905,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170804,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170927,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190901,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200925,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210927,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230615,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170911,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
